crop_name,days,stage,irrigation,irrigation_type,fertilizer_type,fertilizer_dosage,diseases,control_action,labour,notes
Lime,1461,Planting,yes,drip,Basal NPK,60:30:60 g NPK per plant in first year,Root rot,Treat pits with Trichoderma + ensure drainage,Medium,Plant during Feb–March or monsoon season (June–July)
Lime,1461,Vegetative growth,yes,drip,NPK + micronutrients,Increase dose yearly up to 400:200:400 g/plant,"Leaf miner, aphids","Neem oil spray, pruning, yellow sticky traps",High,Regular pruning and weeding required; training young plants
Lime,1461,Flowering (spring/summer),yes,drip,Phosphorus + Boron (foliar),100g P per plant + foliar spray of boron,Citrus canker,Copper oxychloride spray before flowering,Medium,Lime can flower 2 times/year; main bloom in spring
Lime,1461,Fruit development,yes,drip,Potassium + Calcium + Zinc,200g K + foliar Ca & Zn per plant,"Fruit drop, Anthracnose","Spray GA3, use Bordeaux mixture",High,Fruit matures in 5–6 months after flowering
Lime,1461,Harvesting,no,rainfed,,,,Hand pick fruits at mature green or yellow stage,High,Multiple harvests possible per year depending on climate
peanut,120,land preparation,yes,pre-sowing light irrigation,FYM (organic manure),5tons/ha,-,"Deep ploughing, field sanitation",10,"Loamy, well-drained soil; pH 6.0–7.5"
peanut,120,sowing,yes,light irrigation after sowing,-,Seed treatment with Rhizobium,seed rot,"Use treated seeds, proper spacing (30x10 cm)",5,"Use bold, disease-free seeds"
peanut,120,vegetative,yes,drip/sprinkler,NPK,20:40:40 kg/ha (split dose),"leaf spot, rust",Fungicide (Mancozeb/Chlorothalonil),15,Weed twice during this period
peanut,120,flowering,yes,drip/sprinkler,Gypsum,250 kg/ha at flowering,root rot,Soil drenching with Trichoderma/Fungicide,10,"Critical stage for pegging, avoid drought"
peanut,120,pod formation,yes,light irrigation,-,-,"rust, collar rot",Protective fungicide spray if needed,10,Maintain moderate soil moisture
peanut,120,maturity/harvest,no,rainfed or final irrigation,-,-,aflatoxin (in storage),"Timely harvest, dry pods in sun thoroughly",15,Harvest when 70–80% pods mature; avoid delayed harvesting
walnut,2100,land preparation,yes,pre-planting irrigation,FYM + Soil amendments,"10 tons/ha FYM, lime if acidic soil",-,"Deep ploughing, remove stones, level land",10,"Deep, well-drained loamy soil; pH 6–7.5"
walnut,2100,planting (Year 1),yes,basin/furrow irrigation,-,Root dip in fungicide solution,"collar rot, root rot","Treat planting pit, maintain spacing (8m)",5,Plant during dormant season (Dec–Jan); grafted plants preferred
walnut,2100,vegetative growth,yes,drip or basin irrigation,NPK,40:20:40 g/tree (gradually increasing),"aphids, mites","Insecticidal sprays, pruning to maintain airflow",15,Growth phase is slow in first 3–5 years; avoid waterlogging
walnut,2100,flowering (Year 4+),yes,drip/sprinkler preferred,NPK + Zn/Boron,60:40:60 g/tree + micronutrients,"blight, anthracnose",Fungicide sprays during flowering,10,Ensure frost-free flowering period; hand pollination if needed
walnut,2100,fruit setting,yes,drip or furrow,-,"Continue NPK, mulch for moisture","husk fly, borers","Insect traps, neem oil, regular monitoring",10,Thin fruits if overcrowded; maintain clean orchard floor
walnut,2100,maturity/harvest,no,rainfed / minimal irrigation,-,Stop N before harvest,"mold, aflatoxin (storage)",Harvest by shaking or handpicking; dry immediately,20,Harvest when outer husk splits (Sept–Oct); avoid late harvest
moringa,240,land preparation,yes,pre-sowing irrigation,FYM (organic manure),8tons/ha,-,"Deep ploughing, remove weeds",8,"Prefers loamy soil, pH 6.5–7.5; good drainage is essential"
moringa,240,sowing/transplant,yes,basin irrigation,-,Seed soaking in fungicide (optional),"seed rot, damping off",Use treated seeds or healthy saplings,5,Can be propagated by seeds or cuttings
moringa,240,vegetative growth,yes,drip or furrow,NPK,40:20:40 kg/ha (split dose),"powdery mildew, aphids","Neem oil, insecticidal soap, fungicides",10,Pinch top shoots to promote branching
moringa,240,flowering,yes,light irrigation,Boron (if deficient),10 kg/ha borax (if needed),flower drop,"Maintain moisture, no water stress",8,Begins flowering around 90–100 days
moringa,240,pod formation,yes,drip/sprinkler,NPK (booster dose),20:10:20 kg/ha,"fruit borer, aphids",Monitor and spray botanicals/pesticides if needed,10,Pods grow quickly; harvest starts around day 150–180
moringa,240,maturity/harvest,no,rainfed (or final irrigation),-,-,post-harvest mold,Timely harvest; avoid over-mature pods,15,Harvest when pods are 6–8 weeks old for best taste and nutrition
fenugreek,120,land preparation,yes,pre-sowing light irrigation,FYM (organic manure),8tons/ha,-,"Deep ploughing, soil leveling",6,"Well-drained loamy soil, pH 6–7.5; avoid waterlogging"
fenugreek,120,sowing,yes,irrigation after sowing,-,Seed treatment with fungicide,"damping off, seed rot","Use treated seeds, proper spacing (30x10 cm)",4,Sown in rabi season (Oct–Nov); can also be grown in mild summers
fenugreek,120,vegetative growth,yes,light irrigation,NPK,20:30:20 kg/ha,"aphids, downy mildew","Neem spray, fungicides like Mancozeb",10,Weed twice during growth; supports mild climate
fenugreek,120,flowering,yes,light irrigation,"Micronutrients (Zn, B)",Foliar spray if needed,powdery mildew,Maintain spacing and airflow; spray as needed,8,Flowering begins around 40–50 days
fenugreek,120,pod formation,yes,light irrigation,-,-,leaf spot,Fungicide if needed,8,Avoid moisture stress during pod formation
fenugreek,120,maturity/harvest,no,rainfed or minimal irrigation,-,-,post-harvest rot (if wet),Timely harvesting and sun drying,10,Harvest when 70–80% pods turn yellowish brown
